month_date,month,property_type,listing_count,host_count,active_listing_count,avg_daily_rate_mean,avg_daily_rate_median,occupancy_mean,revenue_mean,revenue_median,revpar_mean,star_rating_mean,superhost_share,latitude_mean,longitude_mean
2021-03-01,2021-03,Apartment & Condo,425,386,265,146.87835294117647,114.4,0.56872,2637.115294117647,1588.0,85.06823529411764,4.6984078212290505,0.27466666666666667,40.728910317505886,-73.95267037705882
2021-03-01,2021-03,Boutique & Hotels,34,29,21,184.99411764705883,143.05,0.5312941176470588,3263.529411764706,1513.5,105.27514231499052,4.54962962962963,0.1935483870967742,40.74796511764706,-73.9799973235294
2021-03-01,2021-03,House,101,92,53,144.37623762376236,92.5,0.44394059405940595,1601.90099009901,630.0,51.67422548706484,4.740340909090909,0.27956989247311825,40.709416166435645,-73.91163882158416
2021-03-01,2021-03,Others,13,13,10,115.78461538461539,114.1,0.7196923076923076,2615.153846153846,2780.0,84.35980148883375,4.843333333333334,0.5384615384615384,40.715195461538464,-73.92063567384615
2021-04-01,2021-04,Apartment & Condo,425,386,280,149.60588235294117,115.9,0.5843176470588235,2647.2658823529414,1703.0,88.24219607843138,4.6984078212290505,0.27466666666666667,40.728910317505886,-73.95267037705882
2021-04-01,2021-04,Boutique & Hotels,34,29,22,193.8764705882353,152.7,0.5137352941176471,3137.323529411765,1380.5,104.57745098039216,4.54962962962963,0.1935483870967742,40.74796511764706,-73.9799973235294
2021-04-01,2021-04,House,101,92,59,144.3930693069307,84.0,0.46533663366336636,1767.2376237623762,979.0,58.9079207920792,4.740340909090909,0.27956989247311825,40.709416166435645,-73.91163882158416
2021-04-01,2021-04,Others,13,13,10,118.92307692307692,114.2,0.7589230769230769,2803.230769230769,3021.0,93.44102564102565,4.843333333333334,0.5384615384615384,40.715195461538464,-73.92063567384615
2021-05-01,2021-05,Apartment & Condo,425,386,295,153.9054117647059,120.2,0.5647717647058823,2748.4211764705883,1807.0,88.65874762808349,4.6984078212290505,0.27466666666666667,40.728910317505886,-73.95267037705882
2021-05-01,2021-05,Boutique & Hotels,34,29,24,211.36764705882354,171.4,0.5749411764705883,3689.0,2469.0,119.0,4.54962962962963,0.1935483870967742,40.74796511764706,-73.9799973235294
2021-05-01,2021-05,House,101,92,65,147.52970297029702,83.0,0.5078217821782178,1974.0594059405942,1294.0,63.67933567550304,4.740340909090909,0.27956989247311825,40.709416166435645,-73.91163882158416
2021-05-01,2021-05,Others,13,13,11,122.32307692307693,114.7,0.7270769230769231,3000.3846153846152,3153.0,96.78660049627791,4.843333333333334,0.5384615384615384,40.715195461538464,-73.92063567384615
